IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
0,1277942400,ADESA,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,WHITE,AUTO,2.0,Covers,53722,AMERICAN,MEDIUM,CHRYSLER,7942.0,9060.0,12145.0,12957.0,8018.0,9189.0,11685.0,12739.0,,,18881,28273,NC,7680.0,0,920
0,1267660800,ADESA,2008,2,CHEVROLET,AVEO,LS,4D SEDAN LS,RED,AUTO,2.0,Covers,54810,AMERICAN,COMPACT,GM,6664.0,7283.0,10031.0,11191.0,6247.0,6943.0,9519.0,10127.0,,,20740,32219,FL,6500.0,0,671
0,1244678400,ADESA,2004,5,CHEVROLET,CAVALIER 4C 2.2L I4,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,81043,AMERICAN,COMPACT,GM,2604.0,3540.0,3312.0,4323.0,2604.0,3540.0,3312.0,4323.0,,,20833,78227,TX,2660.0,0,1243
1,1238544000,MANHEIM,2005,4,FORD,FREESTAR FWD V6 3.9L,SE,PASSENGER 3.9L SE,BLUE,AUTO,,,77707,AMERICAN,VAN,FORD,4798.0,6220.0,5682.0,7218.0,4798.0,6220.0,5682.0,7218.0,,,20392,75236,TX,5850.0,0,1506
1,1248825600,MANHEIM,2003,6,SATURN,ION 2.2L I-4 MPI DOH,3,2D QUAD COUPE LEVEL 3,BLUE,AUTO,1.0,Alloy,78967,AMERICAN,MEDIUM,GM,3815.0,5160.0,4620.0,6073.0,3396.0,4367.0,4168.0,5216.0,,,5546,33809,FL,4975.0,0,1103
0,1273536000,OTHER,2007,3,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L,GREY,AUTO,1.0,Alloy,73046,AMERICAN,LARGE,GM,8629.0,10043.0,12115.0,13989.0,8635.0,10383.0,12606.0,14322.0,,,3453,84104,UT,6960.0,0,1974
1,1236643200,MANHEIM,2005,4,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GREY,AUTO,2.0,Covers,76266,AMERICAN,MEDIUM,FORD,4179.0,5141.0,5013.0,6052.0,3215.0,4355.0,3972.0,5203.0,,,19638,37210,TN,5415.0,0,920
0,1286236800,MANHEIM,2007,3,CHEVROLET,COBALT,LT,4D SEDAN LT,RED,AUTO,2.0,Covers,56712,AMERICAN,COMPACT,GM,6164.0,7552.0,9632.0,11336.0,5887.0,7017.0,9011.0,10125.0,,,19662,60440,IL,6230.0,0,671
0,1269907200,MANHEIM,2006,4,MAZDA,MAZDA6,i,4D SEDAN I,GREY,AUTO,2.0,Covers,75193,OTHER ASIAN,MEDIUM,OTHER,8477.0,10136.0,11727.0,13053.0,8004.0,9598.0,11552.0,12684.0,,,8655,63044,MO,8070.0,0,1272
1,1270080000,MANHEIM,2002,8,JEEP,LIBERTY 2WD V6,Spo,4D SUV SPORT,BLUE,AUTO,1.0,Alloy,79791,AMERICAN,SMALL SUV,CHRYSLER,5376.0,6347.0,7958.0,8855.0,4944.0,5785.0,7594.0,8561.0,,,21973,33411,FL,6935.0,0,986
0,1273017600,MANHEIM,2006,4,PONTIAC,G6 V6,GT,4D SEDAN GT,GREEN,AUTO,1.0,Alloy,69948,AMERICAN,MEDIUM,GM,7205.0,8798.0,11023.0,12527.0,7342.0,8680.0,10614.0,12135.0,,,19662,78219,TX,7635.0,0,1118
1,1280966400,MANHEIM,2005,5,FORD,ESCAPE 2WD 4C,XLS,4D CUV 2.3L XLS,RED,AUTO,1.0,Alloy,60628,AMERICAN,SMALL SUV,FORD,5249.0,6761.0,8936.0,11511.0,5758.0,7562.0,9605.0,12445.0,,,22808,76040,TX,7440.0,0,825
0,1280275200,ADESA,2007,3,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,2.0,Covers,70316,AMERICAN,MEDIUM,CHRYSLER,7523.0,8562.0,11445.0,12454.0,7145.0,8326.0,11017.0,11962.0,,,21053,85226,AZ,7900.0,0,1155
0,1269475200,ADESA,2007,3,TOYOTA,CAMRY 4C,LE,4D SEDAN CE,RED,AUTO,1.0,Alloy,74083,TOP LINE ASIAN,MEDIUM,OTHER,10262.0,11101.0,13945.0,14949.0,10298.0,11285.0,14349.0,15585.0,,,8172,28273,NC,10195.0,0,569
0,1286409600,OTHER,2003,7,CHEVROLET,IMPALA,Bas,4D SEDAN,WHITE,AUTO,2.0,Covers,77750,AMERICAN,LARGE,GM,2882.0,4017.0,5917.0,7189.0,2822.0,3976.0,5937.0,7317.0,,,20833,73108,OK,5935.0,0,2274
0,1292371200,MANHEIM,2004,6,SATURN,ION,3,2D QUAD COUPE LEVEL 2,BLACK,AUTO,1.0,Alloy,72006,AMERICAN,MEDIUM,GM,3603.0,4597.0,6414.0,7407.0,3816.0,5143.0,6431.0,7686.0,NO,GREEN,20740,8505,NJ,5285.0,0,803
0,1243987200,MANHEIM,2007,2,CHRYSLER,SEBRING 4C 2.4L I4 E,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,79992,AMERICAN,MEDIUM,CHRYSLER,7025.0,8164.0,8087.0,9317.0,7025.0,8164.0,8087.0,9317.0,,,3453,80011,CO,6485.0,0,1155
0,1248307200,MANHEIM,2005,4,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,WHITE,AUTO,1.0,Alloy,83415,AMERICAN,MEDIUM SUV,GM,9145.0,10820.0,10377.0,12186.0,8277.0,10398.0,9439.0,11730.0,,,16044,22403,VA,7920.0,0,2152
0,1259712000,MANHEIM,2003,6,FORD,FOCUS,ZX5,5D SEDAN ZX5,BLACK,AUTO,1.0,Alloy,78723,AMERICAN,COMPACT,FORD,2819.0,3677.0,3545.0,4471.0,2973.0,4107.0,6002.0,7756.0,,,19619,32824,FL,3600.0,0,1455
0,1257897600,MANHEIM,2006,3,CHEVROLET,UPLANDER FWD V6,LT,PASSENGER EXT 3.5L LT,PURPLE,AUTO,1.0,Alloy,84184,AMERICAN,VAN,GM,7648.0,9203.0,8760.0,10439.0,7797.0,9518.0,12200.0,14554.0,,,19638,32824,FL,7300.0,0,2282
0,1263859200,MANHEIM,2006,4,KIA,SPECTRA,EX,4D SEDAN,BLACK,AUTO,2.0,Covers,71978,OTHER ASIAN,MEDIUM,OTHER,4457.0,5112.0,7517.0,8292.0,5156.0,5902.0,8346.0,8974.0,,,8655,77041,TX,5775.0,0,569
0,1256515200,MANHEIM,2005,4,FORD,TAURUS 3.0L V6 EFI,SEL,4D SEDAN SEL FFV,GREEN,AUTO,,,61031,AMERICAN,MEDIUM,FORD,5041.0,6143.0,5944.0,7134.0,4394.0,5495.0,7783.0,8959.0,,,18881,27542,NC,4800.0,0,825
0,1235520000,ADESA,2005,4,CHEVROLET,CAVALIER 4C 2.2L I4,Bas,4D SEDAN,BLACK,AUTO,1.0,Alloy,85015,AMERICAN,COMPACT,GM,3554.0,4467.0,4338.0,5324.0,7063.0,8582.0,8128.0,9769.0,,,18111,30212,GA,4250.0,0,1243
0,1277856000,MANHEIM,2005,5,CHEVROLET,EQUINOX AWD V6,LS,4D SUV LS,BLACK,AUTO,2.0,Covers,66274,AMERICAN,MEDIUM SUV,GM,6910.0,8669.0,10535.0,12350.0,7621.0,9263.0,10854.0,12763.0,,,21973,32824,FL,8650.0,0,1313
0,1260921600,MANHEIM,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,RED,AUTO,1.0,Alloy,83464,AMERICAN,LARGE TRUCK,CHRYSLER,6527.0,8135.0,10627.0,12847.0,7128.0,8804.0,11302.0,13318.0,,,20833,75236,TX,9395.0,0,983
0,1242691200,MANHEIM,2006,3,DODGE,STRATUS V6 2.7L V6 M,SXT,4D SEDAN SXT FFV,BLACK,AUTO,2.0,Covers,53486,AMERICAN,MEDIUM,CHRYSLER,5480.0,6461.0,6418.0,7478.0,5753.0,6492.0,6713.0,7511.0,,,99750,46803,IN,6500.0,0,1086
0,1292371200,OTHER,2005,5,KIA,SORENTO 2WD,EX,4D SPORT UTILITY EX,BLACK,AUTO,1.0,Alloy,90485,OTHER ASIAN,MEDIUM SUV,OTHER,5886.0,7159.0,9721.0,10768.0,5788.0,7034.0,9535.0,10546.0,,,52492,29697,SC,7200.0,0,2062
0,1280275200,MANHEIM,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,GOLD,AUTO,1.0,Alloy,61041,AMERICAN,COMPACT,FORD,3957.0,5031.0,7468.0,8798.0,3103.0,4017.0,6035.0,7108.0,,,19638,33809,FL,5650.0,0,1020
0,1233014400,MANHEIM,2005,4,CHEVROLET,UPLANDER FWD V6 3.5L,Bas,PASSENGER EXT 3.5L,SILVER,AUTO,2.0,Covers,62770,AMERICAN,VAN,GM,6373.0,7337.0,7383.0,8424.0,7824.0,9013.0,8950.0,10234.0,,,19619,28625,NC,6230.0,0,1801
0,1251244800,MANHEIM,2005,4,DODGE,MAGNUM V6 3.5L V6 MP,SE,WAGON 3.5L,BLACK,AUTO,1.0,Alloy,66865,AMERICAN,SPECIALTY,CHRYSLER,8446.0,9954.0,9622.0,11250.0,7033.0,8556.0,11004.0,12642.0,,,18822,78219,TX,9165.0,0,1215
0,1274313600,MANHEIM,2003,7,HONDA,ELEMENT 4WD,EX,4D SPORT UTILITY EX,SILVER,AUTO,1.0,Alloy,82002,TOP LINE ASIAN,SMALL SUV,OTHER,6995.0,8693.0,9999.0,11475.0,6019.0,7443.0,9216.0,10700.0,,,8655,75236,TX,8485.0,0,1023
0,1249516800,MANHEIM,2006,3,PONTIAC,GRAND PRIX 3.8L V6 S,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,77448,AMERICAN,LARGE,GM,6897.0,8449.0,7949.0,9625.0,6806.0,8421.0,7850.0,9595.0,,,99740,79932,TX,6230.0,0,1974
0,1284336000,MANHEIM,2006,4,KIA,OPTIMA 4C,LX,4D SEDAN LX,GREY,AUTO,2.0,Covers,47168,OTHER ASIAN,MEDIUM,OTHER,4507.0,5766.0,7957.0,9177.0,4561.0,5921.0,7640.0,8784.0,,,8172,27542,NC,6800.0,0,623
0,1265932800,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,1.0,Alloy,70274,TOP LINE ASIAN,MEDIUM,OTHER,8422.0,10247.0,11890.0,14392.0,8934.0,10602.0,12043.0,13700.0,,,20740,32219,FL,8300.0,0,686
1,1248652800,MANHEIM,2005,4,FORD,ESCAPE 2WD 4C 2.3L I,XLS,4D CUV 2.3L XLS,WHITE,AUTO,1.0,Alloy,83810,AMERICAN,SMALL SUV,FORD,5802.0,7411.0,6766.0,8504.0,6197.0,8003.0,7193.0,9143.0,,,17675,27542,NC,6100.0,0,983
0,1269993600,MANHEIM,2005,5,BUICK,LACROSSE,CXL,4D SEDAN CXL,WHITE,AUTO,1.0,Alloy,80409,AMERICAN,LARGE,GM,8154.0,9798.0,11564.0,13339.0,8356.0,10622.0,11598.0,13941.0,,,22916,80011,CO,8170.0,0,1633
0,1264464000,OTHER,2006,4,CHEVROLET,COLORADO PICKUP 2WD,LS,REG CAB 2.8L,WHITE,AUTO,2.0,Covers,83451,AMERICAN,SMALL TRUCK,GM,5342.0,6803.0,9227.0,10774.0,5041.0,6467.0,8753.0,10216.0,,,99761,85284,AZ,4500.0,0,723
0,1250553600,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,BLUE,AUTO,2.0,Covers,77327,AMERICAN,MEDIUM,CHRYSLER,4489.0,5725.0,5348.0,6683.0,4837.0,6319.0,5724.0,7325.0,,,23359,91752,CA,4130.0,0,1155
0,1250208000,ADESA,2004,5,CHRYSLER,PT CRUISER 2.4L I-4,Tou,4D SEDAN TOURING TURBO,RED,AUTO,1.0,Alloy,79036,AMERICAN,MEDIUM,CHRYSLER,4854.0,6045.0,5742.0,7029.0,4608.0,5846.0,5477.0,6814.0,,,18111,37771,TN,5895.0,0,1506
0,1290384000,MANHEIM,2007,3,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,BLUE,AUTO,2.0,Covers,84009,AMERICAN,SPECIALTY,CHRYSLER,9175.0,10407.0,12918.0,14489.0,9176.0,11045.0,12989.0,14982.0,NO,GREEN,52646,27542,NC,9500.0,0,1503
0,1252886400,MANHEIM,2005,4,CHRYSLER,300 3.5L V6 MPI,Tou,4D SEDAN,GREEN,AUTO,1.0,Alloy,61321,AMERICAN,SPECIALTY,CHRYSLER,8109.0,9249.0,9258.0,10489.0,7683.0,8791.0,12058.0,14452.0,,,18880,27542,NC,10400.0,0,1215
0,1274227200,MANHEIM,2007,3,CHEVROLET,AVEO,LT,4D SEDAN LT,SILVER,AUTO,1.0,Alloy,36526,AMERICAN,COMPACT,GM,5680.0,6754.0,9107.0,10128.0,4153.0,5597.0,7868.0,9251.0,,,22916,80011,CO,6255.0,0,582
0,1290124800,ADESA,2005,5,JEEP,GRAND CHEROKEE 4WD V,Lar,4D WAGON LAREDO,RED,AUTO,1.0,Alloy,85641,AMERICAN,MEDIUM SUV,CHRYSLER,7997.0,9340.0,12307.0,14467.0,8305.0,9745.0,11814.0,13530.0,,,23359,91752,CA,9925.0,0,2022
0,1257292800,MANHEIM,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,WHITE,AUTO,1.0,Alloy,57646,AMERICAN,MEDIUM SUV,GM,5823.0,7341.0,6789.0,8428.0,5632.0,6771.0,9141.0,10559.0,,,19619,32824,FL,8800.0,0,1800
0,1257897600,MANHEIM,2005,4,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 5.7L SLT,RED,AUTO,1.0,Alloy,89150,AMERICAN,LARGE TRUCK,CHRYSLER,9142.0,11256.0,10373.0,12656.0,9908.0,12115.0,14214.0,16519.0,,,19064,75236,TX,9450.0,0,983
0,1273104000,OTHER,2004,6,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,SILVER,AUTO,2.0,Covers,82219,OTHER ASIAN,MEDIUM,OTHER,4721.0,5744.0,7996.0,9729.0,3931.0,4840.0,7514.0,9211.0,,,22808,73108,OK,6135.0,0,594
0,1259712000,MANHEIM,2003,6,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L LS,SILVER,AUTO,1.0,Alloy,63677,AMERICAN,MEDIUM SUV,GM,4819.0,5972.0,5705.0,6950.0,5509.0,6624.0,8863.0,10256.0,,,20928,32824,FL,7900.0,0,1320
0,1236643200,MANHEIM,2004,5,FORD,FOCUS 2.3L I-4 DOHC,ZTS,4D SEDAN ZTS,SILVER,AUTO,1.0,Alloy,49214,AMERICAN,COMPACT,FORD,3062.0,3945.0,3807.0,4761.0,3481.0,4571.0,4259.0,5437.0,,,20207,75050,TX,5470.0,0,834
0,1276214400,MANHEIM,2002,8,NISSAN,SENTRA,GXE,4D SEDAN GXE,SILVER,AUTO,1.0,Alloy,80007,TOP LINE ASIAN,COMPACT,OTHER,2757.0,3318.0,5623.0,6306.0,2739.0,3502.0,5623.0,6513.0,,,20740,17545,PA,5120.0,0,894
0,1251417600,OTHER,2002,7,FORD,ESCAPE 4WD V6 3.0L V,XLT,4D CUV 3.0L XLT,SILVER,AUTO,1.0,Alloy,86684,AMERICAN,SMALL SUV,FORD,4445.0,5877.0,5301.0,6847.0,4336.0,5802.0,5183.0,6766.0,,,21973,32750,FL,6345.0,0,1803
0,1292284800,OTHER,2005,5,FORD,EXPLORER 4WD V6,XLS,4D SUV 4.0L FFV XLS,GOLD,AUTO,1.0,Alloy,81542,AMERICAN,MEDIUM SUV,FORD,6161.0,8138.0,9796.0,12087.0,4948.0,6753.0,7927.0,10011.0,,,99750,37421,TN,6900.0,0,1893
1,1259107200,MANHEIM,2004,5,CHRYSLER,PACIFICA FWD,,4D SPORT TOURER,GOLD,AUTO,1.0,Alloy,84931,AMERICAN,CROSSOVER,CHRYSLER,6167.0,7538.0,7160.0,8641.0,6071.0,7358.0,8962.0,11018.0,,,25100,64161,MO,7640.0,0,1503
0,1273622400,OTHER,2007,3,CHEVROLET,UPLANDER FWD V6,LS,PASSENGER EXT 3.5L,BLUE,AUTO,2.0,Covers,83716,AMERICAN,VAN,GM,8402.0,9882.0,12464.0,13816.0,6448.0,7749.0,10090.0,11806.0,,,18111,42104,KY,7270.0,0,2282
0,1232409600,OTHER,2004,5,MITSUBISHI,GALANT 4C 2.4L I4 EF,ES,4D SEDAN ES,WHITE,AUTO,2.0,Covers,57507,OTHER ASIAN,MEDIUM,OTHER,4366.0,5355.0,5215.0,6283.0,4887.0,5796.0,5778.0,6760.0,,,20234,95673,CA,5705.0,0,505
0,1290988800,OTHER,2008,2,KIA,SPECTRA,EX,4D SEDAN EX,RED,AUTO,2.0,Covers,49906,OTHER ASIAN,MEDIUM,OTHER,6601.0,7516.0,9663.0,11003.0,6837.0,7742.0,9816.0,10676.0,,,99761,85284,AZ,6942.0,0,482
0,1268697600,OTHER,2006,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,56655,AMERICAN,LARGE,GM,6998.0,8383.0,10338.0,11986.0,6548.0,8143.0,10294.0,12106.0,,,19662,78426,TX,7850.0,0,1500
0,1233187200,MANHEIM,2004,5,FORD,FREESTAR FWD V6 3.9L,S,PASSENGER 3.9L,SILVER,AUTO,2.0,Covers,53769,AMERICAN,VAN,FORD,3035.0,3876.0,3778.0,4686.0,3840.0,5015.0,4647.0,5916.0,,,835,92337,CA,4635.0,0,1169
0,1266796800,ADESA,2004,6,SATURN,ION,1,4D SEDAN LEVEL 1,RED,MANUAL,1.0,Alloy,67785,AMERICAN,MEDIUM,GM,3103.0,3790.0,5925.0,6671.0,2395.0,3388.0,5220.0,6301.0,,,20928,33619,FL,4400.0,0,728
0,1256688000,OTHER,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C 4,LS,4D SUV 4.2L,GREY,AUTO,1.0,Alloy,88890,AMERICAN,MEDIUM SUV,GM,7146.0,8743.0,8218.0,9942.0,7650.0,8860.0,12563.0,14550.0,,,835,85009,AZ,8495.0,0,1243
0,1281398400,ADESA,2004,6,DODGE,1500 RAM PICKUP 4WD,ST,QUAD CAB 5.7L,WHITE,AUTO,2.0,Covers,92200,AMERICAN,LARGE TRUCK,CHRYSLER,12385.0,15316.0,16520.0,19320.0,8968.0,11970.0,13116.0,15805.0,,,52117,45005,OH,12030.0,0,2062
0,1280966400,OTHER,2005,5,BUICK,RENDEZVOUS FWD,CX,4D SUV CX,GOLD,AUTO,2.0,Covers,66016,AMERICAN,MEDIUM SUV,GM,6743.0,8657.0,10453.0,12887.0,6909.0,8510.0,10936.0,12501.0,,,8655,73108,OK,7235.0,0,3115
0,1255392000,OTHER,2006,3,FORD,MUSTANG V6 4.0L V6 E,Bas,2D COUPE,BLUE,AUTO,1.0,Alloy,66187,AMERICAN,SPORTS,FORD,10004.0,11723.0,11304.0,13161.0,9657.0,11491.0,12936.0,14735.0,,,3453,84104,UT,9155.0,0,728
0,1263340800,MANHEIM,2008,2,FORD,FUSION V6,SEL,4D SEDAN SEL,GREEN,AUTO,1.0,Alloy,84401,AMERICAN,MEDIUM,FORD,10415.0,11608.0,14468.0,15748.0,10725.0,11979.0,16289.0,18194.0,,,3453,80011,CO,7985.0,0,1373
